Edge,Weight,Node_u_label,Node_v_label,Source_id,Target_id
745586487109724305384321573361999760499104808565-53149436127449868924240680690378258004358920789,1094.0,Header_Length <= 32.6,Std <= 28.22,745586487109724305384321573361999760499104808565,53149436127449868924240680690378258004358920789
745586487109724305384321573361999760499104808565-257711990708449088883374418234561981791379092145,1730.0,Header_Length <= 32.6,Max > 2874.0,745586487109724305384321573361999760499104808565,257711990708449088883374418234561981791379092145
53149436127449868924240680690378258004358920789-1248437611222062269094667128421142588065502000586,1094.0,Std <= 28.22,rst_flag_number <= 0.15,53149436127449868924240680690378258004358920789,1248437611222062269094667128421142588065502000586
1248437611222062269094667128421142588065502000586-792331884089540777882596353507246673619962020573,1094.0,rst_flag_number <= 0.15,Tot sum > 618.0,1248437611222062269094667128421142588065502000586,792331884089540777882596353507246673619962020573
1248437611222062269094667128421142588065502000586-436321289875897528465499028965310311445215755872,1255.0,rst_flag_number <= 0.15,Tot sum > 631.0,1248437611222062269094667128421142588065502000586,436321289875897528465499028965310311445215755872
792331884089540777882596353507246673619962020573-529227758651409631228480425428457185552285181315,1094.0,Tot sum > 618.0,Tot size <= 90.95,792331884089540777882596353507246673619962020573,529227758651409631228480425428457185552285181315
529227758651409631228480425428457185552285181315-1260996581259071097527833462707170428778657907709,1094.0,Tot size <= 90.95,SSH <= 0.05,529227758651409631228480425428457185552285181315,1260996581259071097527833462707170428778657907709
1260996581259071097527833462707170428778657907709-598581671913471130647956824591506198796207170495,1094.0,SSH <= 0.05,Tot size <= 77.0,1260996581259071097527833462707170428778657907709,598581671913471130647956824591506198796207170495
1260996581259071097527833462707170428778657907709-1252639526832289973629344770868355037803053633706,1492.0,SSH <= 0.05,Tot sum > 3713.0,1260996581259071097527833462707170428778657907709,1252639526832289973629344770868355037803053633706
598581671913471130647956824591506198796207170495-525381118122291178613547005998267981831493448012,1094.0,Tot size <= 77.0,HTTPS > 0.35,598581671913471130647956824591506198796207170495,525381118122291178613547005998267981831493448012
525381118122291178613547005998267981831493448012-1035069942411780462596450318131727219922774582329,1094.0,HTTPS > 0.35,Rate <= 39547.11,525381118122291178613547005998267981831493448012,1035069942411780462596450318131727219922774582329
525381118122291178613547005998267981831493448012-460799070582671976303251392029561228530909168980,3728.0,HTTPS > 0.35,Std <= 755.98,525381118122291178613547005998267981831493448012,460799070582671976303251392029561228530909168980
1035069942411780462596450318131727219922774582329-1065678358868830613118634470078609803156730625463,1094.0,Rate <= 39547.11,Min > 59.0,1035069942411780462596450318131727219922774582329,1065678358868830613118634470078609803156730625463
1065678358868830613118634470078609803156730625463-450732185867019503557253938593748687470332854114,1094.0,Min > 59.0,fin_flag_number <= 0.05,1065678358868830613118634470078609803156730625463,450732185867019503557253938593748687470332854114
1065678358868830613118634470078609803156730625463-1211779019603258000957243660708019163554054981716,1255.0,Min > 59.0,IAT <= 0.01,1065678358868830613118634470078609803156730625463,1211779019603258000957243660708019163554054981716
1065678358868830613118634470078609803156730625463-392309697882436665536451611615504397657469986205,1257.0,Min > 59.0,Tot sum > 591.5,1065678358868830613118634470078609803156730625463,392309697882436665536451611615504397657469986205
1065678358868830613118634470078609803156730625463-133930239342433631128276537975592981919354717081,1447.0,Min > 59.0,rst_count <= 1.5,1065678358868830613118634470078609803156730625463,133930239342433631128276537975592981919354717081
1065678358868830613118634470078609803156730625463-313966293707852304271238602452879935845810138389,1542.0,Min > 59.0,Class Benign,1065678358868830613118634470078609803156730625463,313966293707852304271238602452879935845810138389
1065678358868830613118634470078609803156730625463-1417934636759409488646659014188540628782694085883,1639.0,Min > 59.0,ack_flag_number > 0.55,1065678358868830613118634470078609803156730625463,1417934636759409488646659014188540628782694085883
1065678358868830613118634470078609803156730625463-325551195483518595353909212855727284622040285051,1730.0,Min > 59.0,Tot sum <= 35794.0,1065678358868830613118634470078609803156730625463,325551195483518595353909212855727284622040285051
1065678358868830613118634470078609803156730625463-1099727549522855783864797575311522371614377295046,1789.0,Min > 59.0,HTTPS > 0.1,1065678358868830613118634470078609803156730625463,1099727549522855783864797575311522371614377295046
1065678358868830613118634470078609803156730625463-861787560656561436082810504550992117758191350423,2295.0,Min > 59.0,Tot size <= 138.05,1065678358868830613118634470078609803156730625463,861787560656561436082810504550992117758191350423
1065678358868830613118634470078609803156730625463-285848756680663301328249263588796850659393704237,2691.0,Min > 59.0,syn_flag_number <= 0.0,1065678358868830613118634470078609803156730625463,285848756680663301328249263588796850659393704237
1065678358868830613118634470078609803156730625463-1089278806871601723968592234327512044041647505481,2719.0,Min > 59.0,Min <= 61.0,1065678358868830613118634470078609803156730625463,1089278806871601723968592234327512044041647505481
1065678358868830613118634470078609803156730625463-444903398511190255204347034984188376704789605296,2949.0,Min > 59.0,syn_count <= 0.5,1065678358868830613118634470078609803156730625463,444903398511190255204347034984188376704789605296
1065678358868830613118634470078609803156730625463-1399401813432697514972361185561401703116868648764,3196.0,Min > 59.0,Number <= 22.0,1065678358868830613118634470078609803156730625463,1399401813432697514972361185561401703116868648764
1065678358868830613118634470078609803156730625463-1144197040251997211190350465913788187543239067957,6378.0,Min > 59.0,syn_count > 0.5,1065678358868830613118634470078609803156730625463,1144197040251997211190350465913788187543239067957
450732185867019503557253938593748687470332854114-1367466275793494495487688982288844671879356068319,1151.0,fin_flag_number <= 0.05,Header_Length > 11.8,450732185867019503557253938593748687470332854114,1367466275793494495487688982288844671879356068319
450732185867019503557253938593748687470332854114-984053500588784488228367892743500793516364787233,1269.0,fin_flag_number <= 0.05,Time_To_Live <= 161.55,450732185867019503557253938593748687470332854114,984053500588784488228367892743500793516364787233
450732185867019503557253938593748687470332854114-71289489250157073843808280449977051905804961170,1730.0,fin_flag_number <= 0.05,psh_flag_number <= 0.25,450732185867019503557253938593748687470332854114,71289489250157073843808280449977051905804961170
450732185867019503557253938593748687470332854114-1107962566984981584164276445501195726979424753061,3196.0,fin_flag_number <= 0.05,UDP <= 0.85,450732185867019503557253938593748687470332854114,1107962566984981584164276445501195726979424753061
450732185867019503557253938593748687470332854114-444903398511190255204347034984188376704789605296,4472.0,fin_flag_number <= 0.05,syn_count <= 0.5,450732185867019503557253938593748687470332854114,444903398511190255204347034984188376704789605296
444903398511190255204347034984188376704789605296-1211179840315814102050366698863412564375406693168,1094.0,syn_count <= 0.5,ack_count <= 10.5,444903398511190255204347034984188376704789605296,1211179840315814102050366698863412564375406693168
444903398511190255204347034984188376704789605296-1037584906676310569385606190963094293221882392926,1151.0,syn_count <= 0.5,Header_Length <= 29.4,444903398511190255204347034984188376704789605296,1037584906676310569385606190963094293221882392926
444903398511190255204347034984188376704789605296-450619439970260140363444461884469391454835761557,1203.0,syn_count <= 0.5,Variance > 92557.64,444903398511190255204347034984188376704789605296,450619439970260140363444461884469391454835761557
444903398511190255204347034984188376704789605296-400381712981511484664070085984055454620756473568,1226.0,syn_count <= 0.5,psh_flag_number <= 0.2,444903398511190255204347034984188376704789605296,400381712981511484664070085984055454620756473568
444903398511190255204347034984188376704789605296-138077334004252778430181930540733405593193044581,1789.0,syn_count <= 0.5,ack_count > 8.5,444903398511190255204347034984188376704789605296,138077334004252778430181930540733405593193044581
444903398511190255204347034984188376704789605296-985521245487824745037099104251507828209310611423,1835.0,syn_count <= 0.5,Rate <= 10256.96,444903398511190255204347034984188376704789605296,985521245487824745037099104251507828209310611423
444903398511190255204347034984188376704789605296-281377077607284898538664687494022656661413605293,2363.0,syn_count <= 0.5,Variance <= 92557.64,444903398511190255204347034984188376704789605296,281377077607284898538664687494022656661413605293
444903398511190255204347034984188376704789605296-900447062492459457955238210065352270538849298598,2896.0,syn_count <= 0.5,Variance <= 534782.66,444903398511190255204347034984188376704789605296,900447062492459457955238210065352270538849298598
444903398511190255204347034984188376704789605296-1089278806871601723968592234327512044041647505481,2949.0,syn_count <= 0.5,Min <= 61.0,444903398511190255204347034984188376704789605296,1089278806871601723968592234327512044041647505481
444903398511190255204347034984188376704789605296-1443408784530807454011493104434508352261197687017,3082.0,syn_count <= 0.5,psh_flag_number <= 0.26,444903398511190255204347034984188376704789605296,1443408784530807454011493104434508352261197687017
444903398511190255204347034984188376704789605296-834170176002351162089815128544616488077312328407,3378.0,syn_count <= 0.5,Header_Length <= 33.0,444903398511190255204347034984188376704789605296,834170176002351162089815128544616488077312328407
444903398511190255204347034984188376704789605296-398067670434286439144393088615206949933423905258,7399.0,syn_count <= 0.5,Tot sum > 26071.0,444903398511190255204347034984188376704789605296,398067670434286439144393088615206949933423905258
444903398511190255204347034984188376704789605296-382345008508603652571712327509459978290105352764,7647.0,syn_count <= 0.5,Tot sum <= 26071.0,444903398511190255204347034984188376704789605296,382345008508603652571712327509459978290105352764
444903398511190255204347034984188376704789605296-905819544296855301716224989833827187799626155007,10052.0,syn_count <= 0.5,Time_To_Live <= 147.4,444903398511190255204347034984188376704789605296,905819544296855301716224989833827187799626155007
444903398511190255204347034984188376704789605296-674196853837619115087533412010134527129516958514,10087.0,syn_count <= 0.5,IAT > 0.0,444903398511190255204347034984188376704789605296,674196853837619115087533412010134527129516958514
1211179840315814102050366698863412564375406693168-651362461792400935886262818312778517146751498200,1094.0,ack_count <= 10.5,AVG <= 206.35,1211179840315814102050366698863412564375406693168,651362461792400935886262818312778517146751498200
1211179840315814102050366698863412564375406693168-913934229985918927260874460680951411120138465741,1151.0,ack_count <= 10.5,Max <= 1493.5,1211179840315814102050366698863412564375406693168,913934229985918927260874460680951411120138465741
1211179840315814102050366698863412564375406693168-843002548960477477622483711282002215058518940907,3082.0,ack_count <= 10.5,Rate <= 3265.26,1211179840315814102050366698863412564375406693168,843002548960477477622483711282002215058518940907
651362461792400935886262818312778517146751498200-509662846021224091981558506161146441974990569614,1094.0,AVG <= 206.35,ack_count > 5.5,651362461792400935886262818312778517146751498200,509662846021224091981558506161146441974990569614
651362461792400935886262818312778517146751498200-326422692296825843811100508251790776115352659574,2577.0,AVG <= 206.35,ack_count > 10.5,651362461792400935886262818312778517146751498200,326422692296825843811100508251790776115352659574
509662846021224091981558506161146441974990569614-313966293707852304271238602452879935845810138389,1094.0,ack_count > 5.5,Class Benign,509662846021224091981558506161146441974990569614,313966293707852304271238602452879935845810138389
228369524332212249435307099043468580179851430248-369704779461116629496268409534905407408423558101,1097.0,Number <= 10.5,Tot sum <= 3520.0,228369524332212249435307099043468580179851430248,369704779461116629496268409534905407408423558101
228369524332212249435307099043468580179851430248-299942158036777560429240003267347668566940654871,1147.0,Number <= 10.5,Tot size > 350.75,228369524332212249435307099043468580179851430248,299942158036777560429240003267347668566940654871
228369524332212249435307099043468580179851430248-1045777643599004391385926847837630459689287939264,1525.0,Number <= 10.5,Header_Length > 12.4,228369524332212249435307099043468580179851430248,1045777643599004391385926847837630459689287939264
228369524332212249435307099043468580179851430248-860440226307720286688657566047220952632368634317,1698.0,Number <= 10.5,UDP <= 0.15,228369524332212249435307099043468580179851430248,860440226307720286688657566047220952632368634317
228369524332212249435307099043468580179851430248-1081120431056829239705557225884792952917305544014,1741.0,Number <= 10.5,AVG <= 3404.2,228369524332212249435307099043468580179851430248,1081120431056829239705557225884792952917305544014
228369524332212249435307099043468580179851430248-674196853837619115087533412010134527129516958514,3728.0,Number <= 10.5,IAT > 0.0,228369524332212249435307099043468580179851430248,674196853837619115087533412010134527129516958514
369704779461116629496268409534905407408423558101-387587405642621519745509255499974046560031130251,1097.0,Tot sum <= 3520.0,syn_flag_number <= 0.05,369704779461116629496268409534905407408423558101,387587405642621519745509255499974046560031130251
387587405642621519745509255499974046560031130251-1270562219278966630109242817886207307040672253255,1097.0,syn_flag_number <= 0.05,Min <= 59.0,387587405642621519745509255499974046560031130251,1270562219278966630109242817886207307040672253255
387587405642621519745509255499974046560031130251-1018220883058315390792001266131730017588394075826,1292.0,syn_flag_number <= 0.05,Max <= 1501.5,387587405642621519745509255499974046560031130251,1018220883058315390792001266131730017588394075826
387587405642621519745509255499974046560031130251-492059831088415984496740481587514332254607280136,1447.0,syn_flag_number <= 0.05,Header_Length > 11.0,387587405642621519745509255499974046560031130251,492059831088415984496740481587514332254607280136
387587405642621519745509255499974046560031130251-740043199848874537428689106371244464475456534152,1698.0,syn_flag_number <= 0.05,Std > 755.98,387587405642621519745509255499974046560031130251,740043199848874537428689106371244464475456534152
387587405642621519745509255499974046560031130251-1240109455169276991964195549603100205343920124650,3266.0,syn_flag_number <= 0.05,rst_flag_number <= 0.05,387587405642621519745509255499974046560031130251,1240109455169276991964195549603100205343920124650
1270562219278966630109242817886207307040672253255-832818805207219958385965786826879211534392508830,1244.0,Min <= 59.0,syn_count <= 4.5,1270562219278966630109242817886207307040672253255,832818805207219958385965786826879211534392508830
1270562219278966630109242817886207307040672253255-328841072803826724837110389485312510194016552872,5138.0,Min <= 59.0,Class Spoofing,1270562219278966630109242817886207307040672253255,328841072803826724837110389485312510194016552872
831459107027161355059853087709334160875522489318-674196853837619115087533412010134527129516958514,1147.0,Time_To_Live > 69.8,IAT > 0.0,831459107027161355059853087709334160875522489318,674196853837619115087533412010134527129516958514
831459107027161355059853087709334160875522489318-1331163826998701005988327749618535286588076394133,1226.0,Time_To_Live > 69.8,Header_Length > 23.8,831459107027161355059853087709334160875522489318,1331163826998701005988327749618535286588076394133
674196853837619115087533412010134527129516958514-395553839061760183450769792032050296186856610739,1147.0,IAT > 0.0,HTTP <= 0.25,674196853837619115087533412010134527129516958514,395553839061760183450769792032050296186856610739
674196853837619115087533412010134527129516958514-569527265265868573570325283223576200882124786394,1147.0,IAT > 0.0,ack_flag_number > 0.35,674196853837619115087533412010134527129516958514,569527265265868573570325283223576200882124786394
674196853837619115087533412010134527129516958514-1248437611222062269094667128421142588065502000586,1255.0,IAT > 0.0,rst_flag_number <= 0.15,674196853837619115087533412010134527129516958514,1248437611222062269094667128421142588065502000586
674196853837619115087533412010134527129516958514-939995650699590723201922265298166474358622686971,1292.0,IAT > 0.0,AVG <= 201.35,674196853837619115087533412010134527129516958514,939995650699590723201922265298166474358622686971
674196853837619115087533412010134527129516958514-765646696511445317973357682684857858999533673724,1542.0,IAT > 0.0,fin_flag_number <= 0.1,674196853837619115087533412010134527129516958514,765646696511445317973357682684857858999533673724
674196853837619115087533412010134527129516958514-1154519493277843990052013356129047846396442255412,1651.0,IAT > 0.0,SSH <= 0.15,674196853837619115087533412010134527129516958514,1154519493277843990052013356129047846396442255412
674196853837619115087533412010134527129516958514-519246868803490290752420769250736118639714922742,1779.0,IAT > 0.0,Tot size > 58.0,674196853837619115087533412010134527129516958514,519246868803490290752420769250736118639714922742
674196853837619115087533412010134527129516958514-612649706603416837611305011066426657549645347859,2149.0,IAT > 0.0,AVG > 515.7,674196853837619115087533412010134527129516958514,612649706603416837611305011066426657549645347859
674196853837619115087533412010134527129516958514-1419168125538624078599657756977532058827999042450,2975.0,IAT > 0.0,ARP > 0.0,674196853837619115087533412010134527129516958514,1419168125538624078599657756977532058827999042450
674196853837619115087533412010134527129516958514-1284953019999077639689787687065846909638350406130,3082.0,IAT > 0.0,Tot size <= 1541.55,674196853837619115087533412010134527129516958514,1284953019999077639689787687065846909638350406130
674196853837619115087533412010134527129516958514-1437081467055428746021978433282703033443826359871,3378.0,IAT > 0.0,fin_count <= 1.5,674196853837619115087533412010134527129516958514,1437081467055428746021978433282703033443826359871
674196853837619115087533412010134527129516958514-1083310673319171210273031182674634355098045505686,6492.0,IAT > 0.0,Max > 366.5,674196853837619115087533412010134527129516958514,1083310673319171210273031182674634355098045505686
674196853837619115087533412010134527129516958514-313966293707852304271238602452879935845810138389,6994.0,IAT > 0.0,Class Benign,674196853837619115087533412010134527129516958514,313966293707852304271238602452879935845810138389
674196853837619115087533412010134527129516958514-1144197040251997211190350465913788187543239067957,7188.0,IAT > 0.0,syn_count > 0.5,674196853837619115087533412010134527129516958514,1144197040251997211190350465913788187543239067957
674196853837619115087533412010134527129516958514-1097156266083003217765660851225381067026127401895,7647.0,IAT > 0.0,Tot size <= 60.3,674196853837619115087533412010134527129516958514,1097156266083003217765660851225381067026127401895
674196853837619115087533412010134527129516958514-666179399781949004947332462038171845488893058518,7938.0,IAT > 0.0,AVG <= 515.7,674196853837619115087533412010134527129516958514,666179399781949004947332462038171845488893058518
674196853837619115087533412010134527129516958514-383116836596496468262090029448909352167655453320,8188.0,IAT > 0.0,Class Reconnaissance,674196853837619115087533412010134527129516958514,383116836596496468262090029448909352167655453320
674196853837619115087533412010134527129516958514-137751422963072178856572769601519995868130997864,8672.0,IAT > 0.0,AVG > 351.81,674196853837619115087533412010134527129516958514,137751422963072178856572769601519995868130997864
674196853837619115087533412010134527129516958514-208797973962340694904605892894863341665156159963,9400.0,IAT > 0.0,ARP <= 0.0,674196853837619115087533412010134527129516958514,208797973962340694904605892894863341665156159963
674196853837619115087533412010134527129516958514-674196853837619115087533412010134527129516958514,10087.0,IAT > 0.0,IAT > 0.0,674196853837619115087533412010134527129516958514,674196853837619115087533412010134527129516958514
674196853837619115087533412010134527129516958514-847468502583258508188253642404047919662167770598,11800.0,IAT > 0.0,Header_Length > 11.88,674196853837619115087533412010134527129516958514,847468502583258508188253642404047919662167770598
674196853837619115087533412010134527129516958514-208684570419164485895332832501367733238966769160,12678.0,IAT > 0.0,Header_Length <= 11.88,674196853837619115087533412010134527129516958514,208684570419164485895332832501367733238966769160
674196853837619115087533412010134527129516958514-178770328222626990939801532630396996345334714737,14561.0,IAT > 0.0,Rate > 869.07,674196853837619115087533412010134527129516958514,178770328222626990939801532630396996345334714737
674196853837619115087533412010134527129516958514-112463115052154748847798171851360218469121395129,16181.0,IAT > 0.0,AVG <= 351.81,674196853837619115087533412010134527129516958514,112463115052154748847798171851360218469121395129
674196853837619115087533412010134527129516958514-444903398511190255204347034984188376704789605296,18612.0,IAT > 0.0,syn_count <= 0.5,674196853837619115087533412010134527129516958514,444903398511190255204347034984188376704789605296
395553839061760183450769792032050296186856610739-1437081467055428746021978433282703033443826359871,1147.0,HTTP <= 0.25,fin_count <= 1.5,395553839061760183450769792032050296186856610739,1437081467055428746021978433282703033443826359871
395553839061760183450769792032050296186856610739-612539620358672076897566158135546820227928190589,2363.0,HTTP <= 0.25,Min > 57.5,395553839061760183450769792032050296186856610739,612539620358672076897566158135546820227928190589
395553839061760183450769792032050296186856610739-444791086211730916272239923741044123035707850091,3266.0,HTTP <= 0.25,Time_To_Live <= 221.25,395553839061760183450769792032050296186856610739,444791086211730916272239923741044123035707850091
1437081467055428746021978433282703033443826359871-796663833304951335607215153502823208410961469538,1147.0,fin_count <= 1.5,syn_flag_number <= 0.15,1437081467055428746021978433282703033443826359871,796663833304951335607215153502823208410961469538
1437081467055428746021978433282703033443826359871-1065678358868830613118634470078609803156730625463,1447.0,fin_count <= 1.5,Min > 59.0,1437081467055428746021978433282703033443826359871,1065678358868830613118634470078609803156730625463
1437081467055428746021978433282703033443826359871-901820364115932856845557992498318406983176010040,1698.0,fin_count <= 1.5,Max > 2931.5,1437081467055428746021978433282703033443826359871,901820364115932856845557992498318406983176010040
1437081467055428746021978433282703033443826359871-444903398511190255204347034984188376704789605296,3082.0,fin_count <= 1.5,syn_count <= 0.5,1437081467055428746021978433282703033443826359871,444903398511190255204347034984188376704789605296
1437081467055428746021978433282703033443826359871-1011208414435707529345775831254676804108612927017,3378.0,fin_count <= 1.5,AVG <= 2074.3,1437081467055428746021978433282703033443826359871,1011208414435707529345775831254676804108612927017
796663833304951335607215153502823208410961469538-774208217208898530265820716038953292986810213011,1147.0,syn_flag_number <= 0.15,Std > 598.22,796663833304951335607215153502823208410961469538,774208217208898530265820716038953292986810213011
796663833304951335607215153502823208410961469538-851172426444758081805882780132578406878799820184,3378.0,syn_flag_number <= 0.15,AVG > 499.45,796663833304951335607215153502823208410961469538,851172426444758081805882780132578406878799820184
774208217208898530265820716038953292986810213011-1025520312540656970049943517486942098102090587070,1147.0,Std > 598.22,DNS <= 0.05,774208217208898530265820716038953292986810213011,1025520312540656970049943517486942098102090587070
1025520312540656970049943517486942098102090587070-622666970840200344191566336878595586235437997465,1147.0,DNS <= 0.05,HTTPS > 0.15,1025520312540656970049943517486942098102090587070,622666970840200344191566336878595586235437997465
1025520312540656970049943517486942098102090587070-1356918774125706948148669054462171222594891604227,1517.0,DNS <= 0.05,Variance <= 831186.41,1025520312540656970049943517486942098102090587070,1356918774125706948148669054462171222594891604227
1025520312540656970049943517486942098102090587070-1197103207803047308000839155547999628248001264277,2295.0,DNS <= 0.05,syn_count <= 1.5,1025520312540656970049943517486942098102090587070,1197103207803047308000839155547999628248001264277
622666970840200344191566336878595586235437997465-953913665845140399695198589392976727662944162410,1147.0,HTTPS > 0.15,Max > 1507.0,622666970840200344191566336878595586235437997465,953913665845140399695198589392976727662944162410
622666970840200344191566336878595586235437997465-297159962591209266883682523885187846035591003400,1226.0,HTTPS > 0.15,Min <= 154.0,622666970840200344191566336878595586235437997465,297159962591209266883682523885187846035591003400
622666970840200344191566336878595586235437997465-14677893904445507785574192933477396509830395368,1651.0,HTTPS > 0.15,Header_Length <= 32.4,622666970840200344191566336878595586235437997465,14677893904445507785574192933477396509830395368
622666970840200344191566336878595586235437997465-1342412290037990275801029368844730198597963714935,1835.0,HTTPS > 0.15,ICMP <= 0.05,622666970840200344191566336878595586235437997465,1342412290037990275801029368844730198597963714935
622666970840200344191566336878595586235437997465-341229906854321590164057706723530186765515835426,2363.0,HTTPS > 0.15,Min <= 786.0,622666970840200344191566336878595586235437997465,341229906854321590164057706723530186765515835426
953913665845140399695198589392976727662944162410-674196853837619115087533412010134527129516958514,1147.0,Max > 1507.0,IAT > 0.0,953913665845140399695198589392976727662944162410,674196853837619115087533412010134527129516958514
953913665845140399695198589392976727662944162410-854737470679532947107657314026081295833069183844,1203.0,Max > 1507.0,UDP <= 0.14,953913665845140399695198589392976727662944162410,854737470679532947107657314026081295833069183844
953913665845140399695198589392976727662944162410-722481527646075884317646237155021822185490894379,1433.0,Max > 1507.0,Min <= 1507.0,953913665845140399695198589392976727662944162410,722481527646075884317646237155021822185490894379
953913665845140399695198589392976727662944162410-422705652263043289873859759118275221583044103512,1789.0,Max > 1507.0,Header_Length > 24.66,953913665845140399695198589392976727662944162410,422705652263043289873859759118275221583044103512
569527265265868573570325283223576200882124786394-228369524332212249435307099043468580179851430248,1147.0,ack_flag_number > 0.35,Number <= 10.5,569527265265868573570325283223576200882124786394,228369524332212249435307099043468580179851430248
299942158036777560429240003267347668566940654871-1124213884117542697417192597182180274792342289779,1147.0,Tot size > 350.75,Variance <= 571308.56,299942158036777560429240003267347668566940654871,1124213884117542697417192597182180274792342289779
1124213884117542697417192597182180274792342289779-392411771682679707527492238297144199619242557498,1147.0,Variance <= 571308.56,rst_flag_number <= 0.1,1124213884117542697417192597182180274792342289779,392411771682679707527492238297144199619242557498
392411771682679707527492238297144199619242557498-823667221673605223908033781583315449730179591180,1147.0,rst_flag_number <= 0.1,Time_To_Live <= 202.1,392411771682679707527492238297144199619242557498,823667221673605223908033781583315449730179591180
392411771682679707527492238297144199619242557498-124181416782325075940557531987760243047869062506,1226.0,rst_flag_number <= 0.1,ack_count <= 15.0,392411771682679707527492238297144199619242557498,124181416782325075940557531987760243047869062506
823667221673605223908033781583315449730179591180-313966293707852304271238602452879935845810138389,1147.0,Time_To_Live <= 202.1,Class Benign,823667221673605223908033781583315449730179591180,313966293707852304271238602452879935845810138389
522296290625812105210965960736507767100196631621-1180772193218401498113880918061067704338583680853,1150.0,ack_count > 0.5,syn_flag_number > 0.1,522296290625812105210965960736507767100196631621,1180772193218401498113880918061067704338583680853
522296290625812105210965960736507767100196631621-1018458204602455991644889288734705161316767948312,1292.0,ack_count > 0.5,Std <= 346.63,522296290625812105210965960736507767100196631621,1018458204602455991644889288734705161316767948312
522296290625812105210965960736507767100196631621-578090820621180084042190616769804575845934420364,1517.0,ack_count > 0.5,HTTP <= 0.05,522296290625812105210965960736507767100196631621,578090820621180084042190616769804575845934420364
522296290625812105210965960736507767100196631621-464462760819080325052423935384869207843731932912,2896.0,ack_count > 0.5,Rate <= 214.21,522296290625812105210965960736507767100196631621,464462760819080325052423935384869207843731932912
522296290625812105210965960736507767100196631621-703354571316526670705826685636552632944029910339,3034.0,ack_count > 0.5,Class DoS/DDoS,522296290625812105210965960736507767100196631621,703354571316526670705826685636552632944029910339
522296290625812105210965960736507767100196631621-548457630762247645813412579056652155648214399551,3196.0,ack_count > 0.5,HTTPS <= 0.55,522296290625812105210965960736507767100196631621,548457630762247645813412579056652155648214399551
522296290625812105210965960736507767100196631621-319488763998053370058054861272361034649617834884,5473.0,ack_count > 0.5,syn_flag_number <= 0.1,522296290625812105210965960736507767100196631621,319488763998053370058054861272361034649617834884
522296290625812105210965960736507767100196631621-1336780167325142884822165751392515518789351968738,6341.0,ack_count > 0.5,Number > 12.0,522296290625812105210965960736507767100196631621,1336780167325142884822165751392515518789351968738
1180772193218401498113880918061067704338583680853-450888053468968058004736573118422158697206088732,1150.0,syn_flag_number > 0.1,rst_count <= 9.5,1180772193218401498113880918061067704338583680853,450888053468968058004736573118422158697206088732
450888053468968058004736573118422158697206088732-135218022300416971984138762094495387107563226576,1150.0,rst_count <= 9.5,syn_count > 9.5,450888053468968058004736573118422158697206088732,135218022300416971984138762094495387107563226576
135218022300416971984138762094495387107563226576-1052395324327561835603722649024062637786820972558,1150.0,syn_count > 9.5,Number > 21.0,135218022300416971984138762094495387107563226576,1052395324327561835603722649024062637786820972558
